[2024-10-08T23:35:20.321+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:20 INFO: Page 129 retrieved with 50 records.
[2024-10-08T23:35:20.740+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:20 INFO: Page 130 retrieved with 50 records.
[2024-10-08T23:35:20.847+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:20 INFO: Page 131 retrieved with 50 records.
[2024-10-08T23:35:21.362+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:21 INFO: Page 132 retrieved with 50 records.
[2024-10-08T23:35:21.475+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:21 INFO: Page 133 retrieved with 50 records.
[2024-10-08T23:35:21.889+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:21 INFO: Page 134 retrieved with 50 records.
[2024-10-08T23:35:22.298+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:22 INFO: Page 135 retrieved with 50 records.
[2024-10-08T23:35:22.388+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:22 INFO: Page 136 retrieved with 50 records.
[2024-10-08T23:35:22.800+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:22 INFO: Page 137 retrieved with 50 records.
[2024-10-08T23:35:22.874+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:22 INFO: Page 138 retrieved with 50 records.
[2024-10-08T23:35:22.958+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:22 INFO: Page 139 retrieved with 50 records.
[2024-10-08T23:35:23.367+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:23 INFO: Page 140 retrieved with 50 records.
[2024-10-08T23:35:23.764+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:23 INFO: Page 141 retrieved with 50 records.
[2024-10-08T23:35:23.848+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:23 INFO: Page 142 retrieved with 50 records.
[2024-10-08T23:35:23.926+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:23 INFO: Page 143 retrieved with 50 records.
[2024-10-08T23:35:24.324+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:24 INFO: Page 144 retrieved with 50 records.
[2024-10-08T23:35:24.736+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:24 INFO: Page 145 retrieved with 50 records.
[2024-10-08T23:35:24.813+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:24 INFO: Page 146 retrieved with 50 records.
[2024-10-08T23:35:25.221+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:25 INFO: Page 147 retrieved with 50 records.
[2024-10-08T23:35:25.304+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:25 INFO: Page 148 retrieved with 50 records.
[2024-10-08T23:35:25.709+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:25 INFO: Page 149 retrieved with 50 records.
[2024-10-08T23:35:26.113+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:26 INFO: Page 150 retrieved with 50 records.
[2024-10-08T23:35:26.214+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:26 INFO: Page 151 retrieved with 50 records.
[2024-10-08T23:35:26.626+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:26 INFO: Page 152 retrieved with 50 records.
[2024-10-08T23:35:27.028+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:27 INFO: Page 153 retrieved with 50 records.
[2024-10-08T23:35:27.433+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:27 INFO: Page 154 retrieved with 50 records.
[2024-10-08T23:35:27.842+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:27 INFO: Page 155 retrieved with 50 records.
[2024-10-08T23:35:27.934+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:27 INFO: Page 156 retrieved with 50 records.
[2024-10-08T23:35:28.030+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:28 INFO: Page 157 retrieved with 50 records.
[2024-10-08T23:35:28.436+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:28 INFO: Page 158 retrieved with 50 records.
[2024-10-08T23:35:28.538+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:28 INFO: Page 159 retrieved with 50 records.
[2024-10-08T23:35:28.965+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:28 INFO: Page 160 retrieved with 50 records.
[2024-10-08T23:35:29.375+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:29 INFO: Page 161 retrieved with 50 records.
[2024-10-08T23:35:29.477+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:29 INFO: Page 162 retrieved with 50 records.
[2024-10-08T23:35:29.564+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:29 INFO: Page 163 retrieved with 50 records.
[2024-10-08T23:35:29.962+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:29 INFO: Page 164 retrieved with 50 records.
[2024-10-08T23:35:30.051+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:30 INFO: Page 165 retrieved with 50 records.
[2024-10-08T23:35:30.502+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:30 INFO: Page 166 retrieved with 50 records.
[2024-10-08T23:35:30.899+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:30 INFO: Page 167 retrieved with 23 records.
[2024-10-08T23:35:31.305+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:31 INFO: All data has been retrieved.
[2024-10-08T23:35:31.306+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:31 INFO: Total records retrieved: 8323
[2024-10-08T23:35:31.404+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:31 INFO: Data saved to bronze layer at /opt/***/data/bronze_layer/breweries_raw_20241008_233531.json
[2024-10-08T23:35:31.406+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:31 INFO: Data ingestion process completed successfully in 47.43 seconds.
[2024-10-08T23:35:31.421+0000] {subprocess.py:97} INFO - Command exited with return code 0
[2024-10-08T23:35:31.436+0000] {taskinstance.py:340} INFO - ::group::Post task execution logs
[2024-10-08T23:35:31.437+0000] {taskinstance.py:352} INFO - Marking task as SUCCESS. dag_id=breweries_data_pipeline, task_id=data_ingestion, run_id=manual__2024-10-08T23:34:40.856537+00:00, execution_date=20241008T233440, start_date=20241008T233443, end_date=20241008T233531
[2024-10-08T23:35:31.443+0000] {logging_mixin.py:190} INFO - Task instance in success state
[2024-10-08T23:35:31.443+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: running
[2024-10-08T23:35:31.443+0000] {logging_mixin.py:190} INFO - Dag name:breweries_data_pipeline queued_at:2024-10-08 23:34:40.865239+00:00
[2024-10-08T23:35:31.444+0000] {logging_mixin.py:190} INFO - Task hostname:3fbc15be3147 operator:BashOperator
[2024-10-08T23:35:31.458+0000] {local_task_job_runner.py:266} INFO - Task exited with return code 0
[2024-10-08T23:35:31.473+0000] {taskinstance.py:3900} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2024-10-08T23:35:31.475+0000] {local_task_job_runner.py:245} INFO - ::endgroup::
